Name,AssetType,Underlying,Source,isin,code,Exchange,category, currency,googleCode,
CSOP Source FTSE China A50 ETF GBP,ETF,EQUITY,Google,IE00BGSHB123,CHNP,CHNP.L,China Equity - A Shares,GBX,LON:CHNP,
db Physical Gold GBP Hedged ETC,ETF,COMMODITIES,Google,GB00B68FL050,XGLS,XGLS.L,Commodities - Precious Metals,GBX,LON:XGLS,
db x-trackers DAX?(DR) Income 1D GBP,ETF,EQUITY,Google,LU0838782315,XDDX,XDDX.L,Germany Large-Cap Equity,GBX,LON:XDDX,
db x-trackers DBLCI OY Balanced 3C,ETF,COMMODITIES,Google,LU0460391906,XDBG,XDBG.L,Commodities - Broad Basket,GBX,LON:XDBG,
db x-trackers Euro Stoxx 50 (DR) 1C GBP,ETF,EQUITY,Google,LU0380865021,XESC,XESC.L,Eurozone Large-Cap Equity,GBX,LON:XESC,
db x-trackers Euro Stoxx 50 (DR) 1D GBP,ETF,EQUITY,Google,LU0274211217,XESX,XESX.L,Eurozone Large-Cap Equity,GBX,LON:XESX,
db x-trackers Euro Stoxx SelDiv 30(DR)1D GBP,ETF,EQUITY,Google,LU0292095535,XD3E,XD3E.L,Eurozone Large-Cap Equity,GBX,LON:XD3E,
db x-trackers Euro Stoxx50 Short Dly 1C GBP,ETF,EQUITY,Google,LU0292106753,XSSX,XSSX.L,Trading - Leveraged/Inverse Equity,GBX,LON:XSSX,
db x-trackers FTSE 100 (DR) 1C,ETF,EQUITY,Google,LU0838780707,XDUK,XDUK.L,UK Large-Cap Blend Equity,GBX,LON:XDUK,
db x-trackers FTSE 100 (DR) Income 1D,ETF,EQUITY,Google,LU0292097234,XUKX,XUKX.L,UK Large-Cap Blend Equity,GBX,LON:XUKX,
db x-trackers FTSE 100 Short Daily 1C,ETF,EQUITY,Google,LU0328473581,XUKS,XUKS.L,Trading - Leveraged/Inverse Equity,GBX,LON:XUKS,
db x-trackers FTSE 250 (DR) 1D,ETF,EQUITY,Google,LU0292097317,XMCX,XMCX.L,UK Mid-Cap Equity,GBX,LON:XMCX,
db x-trackers FTSE All-Share (DR) 1D,ETF,EQUITY,Google,LU0292097747,XASX,XASX.L,UK Large-Cap Blend Equity,GBX,LON:XASX,
db x-trackers FTSE China 50 (DR) 1C GBP,ETF,EQUITY,Google,LU0292109856,XX25,XX25.L,China Equity,USD,LON:XX25,
db x-trackers FTSE E/N Dev Eurp RE(DR)1C GBP,ETF,PROPERTY,Google,LU0489337690,XDER,XDER.L,Property - Indirect Europe,GBX,LON:XDER,
db x-trackers FTSE Vietnam 1C GBP,ETF,EQUITY,Google,LU0322252924,XFVT,XFVT.L,Vietnam Equity,USD,LON:XFVT,
db x-trackers Harvest CSI300 (DR) 1D GBP,ETF,EQUITY,Google,LU0875160326,RQFI,RQFI.L,China Equity - A Shares,USD,LON:RQFI,
db x-trackers II Global Sovereign 2D,ETF,BOND,Google,LU0641006290,XGSG,XGSG.L,Global Bond - GBP Hedged,GBX,LON:XGSG,
db x-trackers II iBoxx Glbl Infl-Lnkd 3D,ETF,BOND,Google,LU0641007264,XGIG,XGIG.L,Global Inflation-Linked Bond - GBP Hedged,GBX,LON:XGIG,
db x-trackers II Sterling Cash 1D,ETF,CASH,Google,LU0321464652,XSTR,XSTR.L,Money Market - Other,GBX,LON:XSTR,
db x-trackers LPX MM Private Equity 1C GBP,ETF,EQUITY,Google,LU0322250712,XLPE,XLPE.L,Sector Equity Private Equity,GBX,LON:XLPE,
db x-trackers Mittelstd&MidCap DEU(DR)1D GBP,ETF,EQUITY,Google,IE00B9MRJJ36,XDGM,XDGM.L,Germany Small/Mid-Cap Equity,GBX,LON:XDGM,
db x-trackers MSCI AC Asia ex Japan 1C GBP,ETF,EQUITY,Google,LU0322252171,XAXJ,XAXJ.L,Asia ex Japan Equity,USD,LON:XAXJ,
db x-trackers MSCI AC AsiaExJpHiDivYld1D GBP,ETF,EQUITY,Google,LU0592215825,XAHG,XAHG.L,Asia ex Japan Equity,USD,LON:XAHG,
db x-trackers MSCI Brazil (DR) 1C GBP,ETF,EQUITY,Google,LU0292109344,XMBR,XMBR.L,Brazil Equity,USD,LON:XMBR,
db x-trackers MSCI Canada DR 1C GBP,ETF,EQUITY,Google,LU0476289540,XCAD,XCAD.L,Canada Equity,USD,LON:XCAD,
