65Name,AssetType,Underlying,Source,isin,code,category, currency,googleCode
SPDR?S&P Emerging Markets Dividend ETF GBP,ETF,EQUITY,Google,IE00B6YX5B26,EMDV,Global Emerging Markets Equity,USD,LON:EMDV
SPDR?S&P Euro Dividend Aristocrats ETF GBP,ETF,EQUITY,Google,IE00B5M1WJ87,EUDV,Eurozone Large-Cap Equity,EUR,LON:EUDV
SPDR?S&P Global Div Aristocrats ETF GBP,ETF,EQUITY,Google,IE00B9CQXS71,GBDV,Global Large-Cap Value Equity,GBP,LON:GBDV
SPDR?S&P Pan Asia Div Aristocrats ETF GBP,ETF,EQUITY,Google,IE00B9KNR336,PADV,Asia-Pacific inc. Japan Equity,GBP,LON:PADV
SPDR?S&P UK Dividend Aristocrats ETF,ETF,EQUITY,Google,IE00B6S2Z822,UKDV,UK Large-Cap Value Equity,GBP,LON:UKDV
SPDR?S&P US Dividend Aristocrats ETF GBP,ETF,EQUITY,Google,IE00B6YX5D40,USDV,US Large-Cap Value Equity,USD,LON:USDV
UBS ETF Barcl Cap US 1-3 Trea Bd USD A GBP,ETF,BOND,Google,LU0721552544,UB74,USD Government Bond,GBX,LON:UB74
UBS ETF Barcl Cap US 7-10 Trea Bd USD A GBP,ETF,BOND,Google,LU0721552973,UB82,USD Government Bond,GBX,LON:UB82
UBS ETF CMCI Composite SF USD A acc GBP,ETF,COMMODITIES,Google,IE00B53H0131,UC15,Commodities - Broad Basket,USD,LON:UC15
UBS ETF EURO STOXX 50 EUR A dis GBP,ETF,EQUITY,Google,LU0136234068,UB01,Eurozone Large-Cap Equity,EUR,LON:UB01
UBS ETF FTSE 100 GBP A dis GBP,ETF,EQUITY,Google,LU0136242590,UB03,UK Large-Cap Blend Equity,GBX,LON:UB03
UBS ETF Markit iBoxx  Germ 1-3 A dis GBP,ETF,BOND,Google,LU0721553351,UB89,EUR Government Bond - Short Term,GBX,LON:UB89
UBS ETF Markit iBoxx  LiqCorp EUR A dis GBP,ETF,BOND,Google,LU0721553864,UB99,EUR Corporate Bond,GBX,LON:UB99
UBS ETF MSCI Canada CAD A dis GBP,ETF,EQUITY,Google,LU0446734872,UB23,Canada Equity,GBX,LON:UB23
UBS ETF MSCI Canada SF CAD A acc GBP,ETF,EQUITY,Google,IE00B5TZCY80,UC24,Canada Equity,GBX,LON:UC24
UBS ETF MSCI Emerging Mkts SF USD A acc GBP,ETF,EQUITY,Google,IE00B3Z3FS74,UC27,Global Emerging Markets Equity,GBX,LON:UC27
UBS ETF MSCI Emerging Mkts USD A dis GBP,ETF,EQUITY,Google,LU0480132876,UB32,Global Emerging Markets Equity,USD,LON:UB32
UBS ETF MSCI EMU EUR A dis GBP,ETF,EQUITY,Google,LU0147308422,UB06,Eurozone Large-Cap Equity,GBX,LON:UB06
UBS ETF MSCI EMU H GBP A acc GBP,ETF,EQUITY,Google,LU0950669688,UC60,Europe Equity - Currency Hedged,GBX,LON:UC60
UBS ETF MSCI EMU H GBP A dis GBP,ETF,EQUITY,Google,LU0937835733,UC59,Europe Equity - Currency Hedged,GBX,LON:UC59
UBS ETF MSCI EMU Small Cap EUR A dis GBP,ETF,EQUITY,Google,LU0671493277,UB69,Eurozone Small-Cap Equity,GBX,LON:UB69
UBS ETF MSCI EMU SRI EUR A dis GBP,ETF,EQUITY,Google,LU0629460675,UB39,Eurozone Large-Cap Equity,GBX,LON:UB39
UBS ETF MSCI EMU Value EUR A dis GBP,ETF,EQUITY,Google,LU0446734369,UB17,Eurozone Large-Cap Equity,GBX,LON:UB17
UBS ETF MSCI Europe EUR A dis GBP,ETF,EQUITY,Google,LU0446734104,UB12,Europe Large-Cap Blend Equity,GBX,LON:UB12
UBS ETF MSCI Japan H GBP A acc,ETF,EQUITY,Google,LU0969638583,UC62,Japan Equity - Currency Hedged,GBX,LON:UC62
UBS ETF MSCI Japan H GBP A dis,ETF,EQUITY,Google,LU0969638401,UC61,Japan Equity - Currency Hedged,GBX,LON:UC61
UBS ETF MSCI Japan JPY A dis GBP,ETF,EQUITY,Google,LU0136240974,UB02,Japan Large-Cap Equity,USD,LON:UB02
UBS ETF MSCI Pacific ex Jpn USD A dis GBP,ETF,EQUITY,Google,LU0446734526,UB20,Asia-Pacific ex-Japan Equity,GBX,LON:UB20
UBS ETF MSCI Pacific SRI USD A dis GBP,ETF,EQUITY,Google,LU0629460832,UB45,Asia-Pacific inc. Japan Equity,GBX,LON:UB45
UBS ETF MSCI United Kingdom GBP A acc GBP,ETF,EQUITY,Google,LU0950670850,UC64,UK Large-Cap Blend Equity,GBX,LON:UC64
UBS ETF MSCI United Kingdom GBP A dis GBP,ETF,EQUITY,Google,LU0937836467,UC63,UK Large-Cap Blend Equity,GBX,LON:UC63
UBS ETF MSCI USA H GBP A acc GBP,ETF,EQUITY,Google,IE00BD4TYJ05,UC74,US Equity - Currency Hedged,GBX,LON:UC74
UBS ETF MSCI USA H GBP A dis GBP,ETF,EQUITY,Google,IE00BD4TYH80,UC73,US Equity - Currency Hedged,GBX,LON:UC73
UBS ETF MSCI USA SRI USD A dis GBP,ETF,EQUITY,Google,LU0629460089,UC46,US Large-Cap Blend Equity,GBX,LON:UC46
UBS ETF MSCI USA USD A dis GBP,ETF,EQUITY,Google,LU0136234654,UC04,US Large-Cap Blend Equity,USD,LON:UC04
UBS ETF MSCI USA Value USD A dis GBP,ETF,EQUITY,Google,IE00B78JSG98,UC07,US Large-Cap Value Equity,GBX,LON:UC07
UBS ETF MSCI World SRI USD A dis GBP,ETF,EQUITY,Google,LU0629459743,UC44,Global Large-Cap Blend Equity,GBX,LON:UC44
UBS ETF MSCI World USD A dis GBP,ETF,EQUITY,Google,LU0340285161,UC55,Global Large-Cap Blend Equity,USD,LON:UC55
UBS ETF S&P 500 USD A dis GBP,ETF,EQUITY,Google,IE00B7K93397,UC13,US Large-Cap Blend Equity,USD,LON:UC13
Vanguard FTSE 100 ETF,ETF,EQUITY,Google,IE00B810Q511,VUKE,UK Large-Cap Blend Equity,GBP,LON:VUKE
Vanguard FTSE 250 ETF,ETF,EQUITY,Google,IE00BKX55Q28,VMID,UK Mid-Cap Equity,GBP,LON:VMID
Vanguard FTSE All-World ETF GBP,ETF,EQUITY,Google,IE00B3RBWM25,VWRL,Global Large-Cap Blend Equity,USD,LON:VWRL
Vanguard FTSE All-World High Div Yld ETF GBP,ETF,EQUITY,Google,IE00B8GKDB10,VHYL,Global Equity Income,USD,LON:VHYL
Vanguard FTSE Dev Asia Pac exJpn ETF GBP,ETF,EQUITY,Google,IE00B9F5YL18,VAPX,Asia-Pacific ex-Japan Equity,USD,LON:VAPX
Vanguard FTSE Developed Europe ETF GBP,ETF,EQUITY,Google,IE00B945VV12,VEUR,Europe Large-Cap Blend Equity,GBP,LON:VEUR
Vanguard FTSE Developed Europe ex UK ETF GBP,ETF,EQUITY,Google,IE00BKX55S42,VERX,Europe ex-UK Large-Cap Equity,GBP,LON:VERX
Vanguard FTSE Developed World ETF GBP,ETF,EQUITY,Google,IE00BKX55T58,VEVE,Global Large-Cap Blend Equity,USD,LON:VEVE
Vanguard FTSE Emerging Markets ETF GBP,ETF,EQUITY,Google,IE00B3VVMM84,VFEM,Global Emerging Markets Equity,USD,LON:VFEM
Vanguard FTSE Japan ETF GBP,ETF,EQUITY,Google,IE00B95PGT31,VJPN,Japan Large-Cap Equity,USD,LON:VJPN
Vanguard FTSE North America ETF GBP,ETF,EQUITY,Google,IE00BKX55R35,VNRT,US Large-Cap Blend Equity,USD,LON:VNRT
Vanguard S&P 500 ETF GBP,ETF,EQUITY,Google,IE00B3XXRP09,VUSA,US Large-Cap Blend Equity,USD,LON:VUSA
Vanguard UK Gilt UCITS ETF,ETF,BOND,Google,IE00B42WWV65,VGOV,GBP Government Bond,GBP,LON:VGOV
WisdomTree Emerg Mkts Eq Inc ETF GBP,ETF,EQUITY,Google,IE00BQQ3Q067,DEM,Global Emerging Markets Equity,USD,LON:DEM
WisdomTree Europe Equity Income ETF GBP,ETF,EQUITY,Google,IE00BQZJBX31,EEI,Europe Equity Income,EUR,LON:EEI
WisdomTree Europe SmallCap Div ETF GBP,ETF,EQUITY,Google,IE00BQZJC527,DFE,Europe Small-Cap Equity,EUR,LON:DFE
WisdomTree Germany Equity ETF GBP Hdg,ETF,EQUITY,Google,IE00BVXBGY20,DXGP,Europe Equity - Currency Hedged,GBX,LON:DXGP
WisdomTree US Equity Income ETF GBP,ETF,EQUITY,Google,IE00BQZJBQ63,DHS,US Large-Cap Value Equity,USD,LON:DHS
WisdomTree US SmallCap Dividend ETF GBP,ETF,EQUITY,Google,IE00BQZJBT94,DESE,US Small-Cap Equity,USD,LON:DESE
