65Name,AssetType,Underlying,Source,isin,code,category, currency,googleCode
ETFS Short AUD Long USD GBP,ETF,FX,Google,JE00B68GQZ83,SAUP,Other,GBX,LON:SAUP
ETFS Short CAD Long GBP,ETF,FX,Google,JE00B3XY7H57,CAGB,Other,GBX,LON:CAGB
ETFS Short CAD Long USD GBP,ETF,FX,Google,JE00B68GS291,SCDP,Other,GBX,LON:SCDP
ETFS Short CHF Long GBP,ETF,FX,Google,JE00B3NKMM36,CHGB,Other,GBX,LON:CHGB
ETFS Short CHF Long USD GBP,ETF,FX,Google,JE00B68GVT76,SCHP,Other,GBX,LON:SCHP
ETFS Short EUR Long GBP,ETF,FX,Google,JE00B45CYD99,URGB,Other,GBX,LON:URGB
ETFS Short EUR Long USD GBP,ETF,FX,Google,JE00B68GSM94,SEUP,Other,GBX,LON:SEUP
ETFS Short GBP Long USD GBP,ETF,FX,Google,JE00B68GRJ90,USD2,Other,GBX,LON:USD2
ETFS Short JPY Long GBP,ETF,FX,Google,JE00B3QBQJ84,JPGB,Other,GBX,LON:JPGB
ETFS Short JPY Long USD GBP,ETF,FX,Google,JE00B68GT596,SJPP,Other,GBX,LON:SJPP
ETFS Short NZD Long GBP,ETF,FX,Google,JE00B3YHSG97,NZGB,Other,GBX,LON:NZGB
ETFS Short SEK Long GBP,ETF,FX,Google,JE00B3TK4N26,SKGB,Other,GBX,LON:SKGB
ETFS Short SEK Long USD GBP,ETF,FX,Google,JE00B68GV865,SSEP,Other,GBX,LON:SSEP
ETFS Short USD Long GBP,ETF,FX,Google,JE00B438PT24,USGB,Other,GBX,LON:USGB
ETFS Silver ETC,ETF,COMMODITIES,Google,GB00B15KY328,SLVR,Commodities - Precious Metals,USD,LON:SLVR
ETFS US Energy Infrastructure MLP GO ETF GBP,ETF,EQUITY,Google,IE00BHZKHS06,MLPX,Sector Equity Energy,GBX,LON:MLPX
ETFS WTI 2mth ETC GBP,ETF,COMMODITIES,Google,GB00B0CTWK84,OLWP,Commodities - Energy,GBX,LON:OLWP
First Trust UK AlphaDEX?A GBP,ETF,EQUITY,Google,IE00B8X9NZ57,FKU,UK Large-Cap Blend Equity,GBX,LON:FKU
First Trust US Lg Cp Cor AlphaDEX?A USD GBP,ETF,EQUITY,Google,IE00B8X9NW27,FEX,US Large-Cap Blend Equity,USD,LON:FEX
FT Emerging Markets AlphaDEX?ETF A USD GBP,ETF,EQUITY,Google,IE00B8X9NX34,FEM,Global Emerging Markets Equity,USD,LON:FEM
HSBC EURO STOXX 50 ETF GBP,ETF,EQUITY,Google,IE00B4K6B022,H50E,Eurozone Large-Cap Equity,GBX,LON:H50E
HSBC FTSE 100 ETF,ETF,EQUITY,Google,IE00B42TW061,HUKX,UK Large-Cap Blend Equity,GBX,LON:HUKX
HSBC FTSE 250 ETF,ETF,EQUITY,Google,IE00B64PTF05,HMCX,UK Mid-Cap Equity,GBX,LON:HMCX
HSBC FTSE EPRA/NAREIT Developed ETF GBP,ETF,PROPERTY,Google,IE00B5L01S80,HPRO,Property - Indirect Global,USD,LON:HPRO
HSBC MSCI AC FAR EAST ex JAPAN ETF GBP,ETF,EQUITY,Google,IE00BBQ2W338,HMAF,Asia ex Japan Equity,USD,LON:HMAF
HSBC MSCI Brazil ETF GBP,ETF,EQUITY,Google,IE00B5W34K94,HBRL,Brazil Equity,GBX,LON:HBRL
HSBC MSCI Canada ETF GBP,ETF,EQUITY,Google,IE00B51B7Z02,HCAN,Canada Equity,USD,LON:HCAN
HSBC MSCI China ETF GBP,ETF,EQUITY,Google,IE00B44T3H88,HMCH,China Equity,USD,LON:HMCH
HSBC MSCI EM Far East ETF GBP,ETF,EQUITY,Google,IE00B5LP3W10,HMFE,Asia ex Japan Equity,USD,LON:HMFE
HSBC MSCI EM LA ETF GBP,ETF,EQUITY,Google,IE00B4TS3815,HMLA,Latin America Equity,USD,LON:HMLA
HSBC MSCI Emerg Mkts ETF GBP,ETF,EQUITY,Google,IE00B5SSQT16,HMEF,Global Emerging Markets Equity,USD,LON:HMEF
HSBC MSCI Europe ETF GBP,ETF,EQUITY,Google,IE00B5BD5K76,HMEU,Europe Large-Cap Blend Equity,GBX,LON:HMEU
HSBC MSCI Indonesia ETF GBP,ETF,EQUITY,Google,IE00B46G8275,HIDR,Indonesia Equity,USD,LON:HIDR
HSBC MSCI JAPAN ETF GBP,ETF,EQUITY,Google,IE00B5VX7566,HMJP,Japan Large-Cap Equity,USD,LON:HMJP
HSBC MSCI Korea ETF GBP,ETF,EQUITY,Google,IE00B3Z0X395,HKOR,Korea Equity,USD,LON:HKOR
HSBC MSCI Malaysia ETF GBP,ETF,EQUITY,Google,IE00B3X3R831,HMYR,Other Asia-Pacific Equity,USD,LON:HMYR
