Date, Open, High, Low, Close,0
2017-01-11,149.79,149.79,149.79,149.79,0
2017-01-10,149.9,149.9,149.9,149.9,0
2017-01-09,150.01,150.01,150.01,150.01,0
2017-01-06,149.99,149.99,149.99,149.99,0
2017-01-05,149.93,149.93,149.93,149.93,0
2017-01-04,149.66,149.66,149.66,149.66,0
2017-01-03,149.07,149.07,149.07,149.07,0
2016-12-30,149.07,149.07,149.07,149.07,0
2016-12-29,149.17,149.17,149.17,149.17,0
2016-12-28,148.99,148.99,148.99,148.99,0
2016-12-23,148.84,148.84,148.84,148.84,0
2016-12-22,148.72,148.72,148.72,148.72,0
2016-12-21,148.67,148.67,148.67,148.67,0
2016-12-20,148.51,148.51,148.51,148.51,0
2016-12-19,147.39,147.39,147.39,147.39,0
2016-12-16,148.61,148.61,148.61,148.61,0
2016-12-15,148.01,148.01,148.01,148.01,0
2016-12-14,148.48,148.48,148.48,148.48,0
2016-12-13,148.29,148.29,148.29,148.29,0
2016-12-12,147.86,147.86,147.86,147.86,0
2016-12-09,147.65,147.65,147.65,147.65,0
2016-12-08,147.58,147.58,147.58,147.58,0
2016-12-07,147.41,147.41,147.41,147.41,0
2016-12-06,147.02,147.02,147.02,147.02,0
2016-12-05,146.77,146.77,146.77,146.77,0
2016-12-02,146.85,146.85,146.85,146.85,0
2016-12-01,145.58,145.58,145.58,145.58,0
2016-11-30,146.72,146.72,146.72,146.72,0
2016-11-29,146.62,146.62,146.62,146.62,0
2016-11-28,146.79,146.79,146.79,146.79,0
2016-11-25,145.55,145.55,145.55,145.55,0
2016-11-24,145.53,145.53,145.53,145.53,0
2016-11-23,145.38,145.38,145.38,145.38,0
2016-11-22,145.41,145.41,145.41,145.41,0
2016-11-21,145.27,145.27,145.27,145.27,0
2016-11-18,146.2,146.2,146.2,146.2,0
2016-11-17,146.67,146.67,146.67,146.67,0
2016-11-16,145.45,145.45,145.45,145.45,0
2016-11-15,145.53,145.53,145.53,145.53,0
2016-11-14,146.54,146.54,146.54,146.54,0
2016-11-11,146.81,146.81,146.81,146.81,0
2016-11-10,146.92,146.92,146.92,146.92,0
2016-11-09,146.43,146.43,146.43,146.43,0
2016-11-08,145.88,145.88,145.88,145.88,0
2016-11-07,145.44,145.44,145.44,145.44,0
2016-11-04,145.4,145.4,145.4,145.4,0
2016-11-03,145.38,145.38,145.38,145.38,0
2016-11-02,145.85,145.85,145.85,145.85,0
2016-11-01,145.96,145.96,145.96,145.96,0
2016-10-31,147.21,147.21,147.21,147.21,0
2016-10-28,147.3,147.3,147.3,147.3,0
2016-10-27,147.21,147.21,147.21,147.21,0
2016-10-26,147.34,147.34,147.34,147.34,0
2016-10-25,147.58,147.58,147.58,147.58,0
2016-10-24,147.71,147.71,147.71,147.71,0
2016-10-21,147.76,147.76,147.76,147.76,0
2016-10-20,147.68,147.68,147.68,147.68,0
2016-10-19,147.6,147.6,147.6,147.6,0
2016-10-18,147.37,147.37,147.37,147.37,0
2016-10-17,147.08,147.08,147.08,147.08,0
2016-10-14,147,147,147,147,0
2016-10-13,147.26,147.26,147.26,147.26,0
2016-10-12,147.08,147.08,147.08,147.08,0
2016-10-11,147.29,147.29,147.29,147.29,0
2016-10-10,146.18,146.18,146.18,146.18,0
2016-10-07,145.99,145.99,145.99,145.99,0
2016-10-06,146.08,146.08,146.08,146.08,0
2016-10-05,145.79,145.79,145.79,145.79,0
2016-10-04,146,146,146,146,0
2016-10-03,145.91,145.91,145.91,145.91,0
2016-09-30,147.68,147.68,147.68,147.68,0
2016-09-29,148.7,148.7,148.7,148.7,0
2016-09-28,148.61,148.61,148.61,148.61,0
2016-09-27,148.73,148.73,148.73,148.73,0
2016-09-26,148.89,148.89,148.89,148.89,0
2016-09-23,149.01,149.01,149.01,149.01,0
2016-09-22,147.76,147.76,147.76,147.76,0
2016-09-21,147.25,147.25,147.25,147.25,0
2016-09-20,147.32,147.32,147.32,147.32,0
2016-09-19,147.04,147.04,147.04,147.04,0
2016-09-16,147.06,147.06,147.06,147.06,0
2016-09-15,146.97,146.97,146.97,146.97,0
2016-09-14,147.07,147.07,147.07,147.07,0
2016-09-13,147.63,147.63,147.63,147.63,0
2016-09-12,147.26,147.26,147.26,147.26,0
2016-09-09,148.85,148.85,148.85,148.85,0
2016-09-08,149.29,149.29,149.29,149.29,0
2016-09-07,149.25,149.25,149.25,149.25,0
2016-09-06,149.17,149.17,149.17,149.17,0
2016-09-05,149.17,149.17,149.17,149.17,0
2016-09-02,147.77,147.77,147.77,147.77,0
2016-09-01,147.8,147.8,147.8,147.8,0
2016-08-31,147.91,147.91,147.91,147.91,0
2016-08-30,147.95,147.95,147.95,147.95,0
2016-08-26,147.7,147.7,147.7,147.7,0
2016-08-25,147.74,147.74,147.74,147.74,0
2016-08-24,148.94,148.94,148.94,148.94,0
2016-08-23,148.74,148.74,148.74,148.74,0
2016-08-22,147.65,147.65,147.65,147.65,0
2016-08-19,147.59,147.59,147.59,147.59,0
2016-08-18,147.57,147.57,147.57,147.57,0
2016-08-17,147.41,147.41,147.41,147.41,0
2016-08-16,147.68,147.68,147.68,147.68,0
2016-08-15,148.51,148.51,148.51,148.51,0
