Date, Open, High, Low, Close, Volume
2016-11-23,2.88,2.88,2.88,2.88,0
2016-11-22,2.88,2.88,2.88,2.88,0
2016-11-21,2.88,2.88,2.88,2.88,0
2016-11-18,2.87,2.87,2.87,2.87,0
2016-11-17,2.85,2.85,2.85,2.85,0
2016-11-16,2.84,2.84,2.84,2.84,0
2016-11-15,2.82,2.82,2.82,2.82,0
2016-11-14,2.83,2.83,2.83,2.83,0
2016-11-11,2.83,2.83,2.83,2.83,0
2016-11-10,2.92,2.92,2.92,2.92,0
2016-11-09,2.94,2.94,2.94,2.94,0
2016-11-08,2.95,2.95,2.95,2.95,0
2016-11-07,2.92,2.92,2.92,2.92,0
2016-11-04,2.9,2.9,2.9,2.9,0
2016-11-03,2.91,2.91,2.91,2.91,0
2016-11-02,2.95,2.95,2.95,2.95,0
2016-11-01,2.99,2.99,2.99,2.99,0
2016-10-31,3,3,3,3,0
2016-10-28,2.99,2.99,2.99,2.99,0
2016-10-27,2.98,2.98,2.98,2.98,0
2016-10-26,3,3,3,3,0
2016-10-25,3.03,3.03,3.03,3.03,0
2016-10-24,3.02,3.02,3.02,3.02,0
2016-10-21,3.02,3.02,3.02,3.02,0
2016-10-20,3.02,3.02,3.02,3.02,0
2016-10-19,3.01,3.01,3.01,3.01,0
2016-10-14,3.02,3.02,3.02,3.02,0
2016-10-13,3.03,3.03,3.03,3.03,0
2016-10-12,3.03,3.03,3.03,3.03,0
2016-10-11,3.07,3.07,3.07,3.07,0
2016-10-10,3.02,3.02,3.02,3.02,0
2016-10-07,3.04,3.04,3.04,3.04,0
2016-10-06,2.98,2.98,2.98,2.98,0
2016-10-05,2.98,2.98,2.98,2.98,0
2016-10-04,3,3,3,3,0
2016-10-03,2.97,2.97,2.97,2.97,0
2016-09-30,2.93,2.93,2.93,2.93,0
2016-09-29,2.94,2.94,2.94,2.94,0
2016-09-28,2.94,2.94,2.94,2.94,0
2016-09-27,2.94,2.94,2.94,2.94,0
2016-09-26,2.96,2.96,2.96,2.96,0
2016-09-23,2.97,2.97,2.97,2.97,0
2016-09-22,2.94,2.94,2.94,2.94,0
2016-09-21,2.92,2.92,2.92,2.92,0
2016-09-20,2.93,2.93,2.93,2.93,0
2016-09-19,2.91,2.91,2.91,2.91,0
2016-09-16,2.88,2.88,2.88,2.88,0
2016-09-13,2.86,2.86,2.86,2.86,0
2016-09-12,2.83,2.83,2.83,2.83,0
2016-09-09,2.89,2.89,2.89,2.89,0
2016-09-08,2.9,2.9,2.9,2.9,0
2016-09-07,2.89,2.89,2.89,2.89,0
2016-09-06,2.89,2.89,2.89,2.89,0
2016-09-05,2.89,2.89,2.89,2.89,0
2016-08-31,2.9,2.9,2.9,2.9,0
2016-08-30,2.93,2.93,2.93,2.93,0
2016-08-26,2.89,2.89,2.89,2.89,0
2016-08-25,2.89,2.89,2.89,2.89,0
2016-08-24,2.9,2.9,2.9,2.9,0
2016-08-23,2.93,2.93,2.93,2.93,0
2016-08-22,2.94,2.94,2.94,2.94,0
2016-08-19,2.94,2.94,2.94,2.94,0
2016-08-18,2.93,2.93,2.93,2.93,0
