date,open,high,low,close,volume,,
2015-05-01,959.54,959.54,959.54,959.54,0,mandg.co.uk,
2015-04-30,951.29,951.29,951.29,951.29,0,mandg.co.uk,
2015-04-29,952.48,952.48,952.48,952.48,0,mandg.co.uk,
2015-04-28,961.62,961.62,961.62,961.62,0,mandg.co.uk,
2015-04-27,968.95,968.95,968.95,968.95,0,mandg.co.uk,
2015-04-24,969.09,969.09,969.09,969.09,0,mandg.co.uk,
2015-04-23,974.07,974.07,974.07,974.07,0,mandg.co.uk,
2015-04-22,975.04,975.04,975.04,975.04,0,mandg.co.uk,
2015-04-21,983.31,983.31,983.31,983.31,0,mandg.co.uk,
2015-04-20,985.59,985.59,985.59,985.59,0,mandg.co.uk,
2015-04-17,981.75,981.75,981.75,981.75,0,mandg.co.uk,
2015-04-16,985.44,985.44,985.44,985.44,0,mandg.co.uk,
2015-04-15,990.15,990.15,990.15,990.15,0,mandg.co.uk,
2015-04-14,993.99,993.99,993.99,993.99,0,mandg.co.uk,
2015-04-13,993.11,993.11,993.11,993.11,0,mandg.co.uk,
2015-04-10,992.63,992.63,992.63,992.63,0,mandg.co.uk,
2015-04-09,986.63,986.63,986.63,986.63,0,mandg.co.uk,
2015-04-08,986.41,986.41,986.41,986.41,0,mandg.co.uk,
2015-04-07,988.05,988.05,988.05,988.05,0,mandg.co.uk,
2015-04-02,996.84,996.84,996.84,996.84,0,mandg.co.uk,
2015-04-01,992.86,992.86,992.86,992.86,0,mandg.co.uk,
2015-03-31,989.05,989.05,989.05,989.05,0,mandg.co.uk,
2015-03-30,991.53,991.53,991.53,991.53,0,mandg.co.uk,
2015-03-27,986.81,986.81,986.81,986.81,0,mandg.co.uk,
2015-03-26,992.22,992.22,992.22,992.22,0,mandg.co.uk,
2015-03-25,992.25,992.25,992.25,992.25,0,mandg.co.uk,
2015-03-24,992.47,992.47,992.47,992.47,0,mandg.co.uk,
2015-03-23,992.9,992.9,992.9,992.9,0,mandg.co.uk,
2015-03-20,995.63,995.63,995.63,995.63,0,mandg.co.uk,
2015-03-19,988.03,988.03,988.03,988.03,0,mandg.co.uk,
2015-03-18,996.76,996.76,996.76,996.76,0,mandg.co.uk,
2015-03-17,985.45,985.45,985.45,985.45,0,mandg.co.uk,
2015-03-16,986.06,986.06,986.06,986.06,0,mandg.co.uk,
2015-03-13,983.85,983.85,983.85,983.85,0,mandg.co.uk,
2015-03-12,974.98,974.98,974.98,974.98,0,mandg.co.uk,
2015-03-11,964.64,964.64,964.64,964.64,0,mandg.co.uk,
2015-03-10,963.03,963.03,963.03,963.03,0,mandg.co.uk,
2015-03-09,957.96,957.96,957.96,957.96,0,mandg.co.uk,
2015-03-06,958.11,958.11,958.11,958.11,0,mandg.co.uk,
2015-03-05,954.28,954.28,954.28,954.28,0,mandg.co.uk,
2015-03-04,949.88,949.88,949.88,949.88,0,mandg.co.uk,
