date,open,high,low,close,volume,
2019-04-28,220.3,220.3,220.3,220.3,0,Fidelity
2019-04-29,220.8,220.8,220.8,220.8,0,Fidelity
2019-04-30,219.8,219.8,219.8,219.8,0,Fidelity
2019-05-01,219.2,219.2,219.2,219.2,0,Fidelity
2019-05-02,218.3,218.3,218.3,218.3,0,Fidelity
2019-05-03,218.7,218.7,218.7,218.7,0,Fidelity
2019-05-04,218.7,218.7,218.7,218.7,0,Fidelity
2019-05-05,218.7,218.7,218.7,218.7,0,Fidelity
2019-05-06,218.7,218.7,218.7,218.7,0,Fidelity
2019-05-07,216,216,216,216,0,Fidelity
2019-05-08,215.1,215.1,215.1,215.1,0,Fidelity
2019-05-09,214.6,214.6,214.6,214.6,0,Fidelity
2019-05-10,213.8,213.8,213.8,213.8,0,Fidelity
2019-05-11,213.8,213.8,213.8,213.8,0,Fidelity
2019-05-12,213.8,213.8,213.8,213.8,0,Fidelity
2019-05-13,212.6,212.6,212.6,212.6,0,Fidelity
2019-05-14,211.5,211.5,211.5,211.5,0,Fidelity
2019-05-15,213.1,213.1,213.1,213.1,0,Fidelity
2019-05-16,216,216,216,216,0,Fidelity
2019-05-17,217.6,217.6,217.6,217.6,0,Fidelity
2019-05-18,217.6,217.6,217.6,217.6,0,Fidelity
2019-05-19,217.6,217.6,217.6,217.6,0,Fidelity
2019-05-20,216.3,216.3,216.3,216.3,0,Fidelity
2019-05-21,218.1,218.1,218.1,218.1,0,Fidelity
2019-05-22,218.8,218.8,218.8,218.8,0,Fidelity
2019-05-23,216.3,216.3,216.3,216.3,0,Fidelity
2019-05-24,216.7,216.7,216.7,216.7,0,Fidelity
2019-05-25,216.7,216.7,216.7,216.7,0,Fidelity
2019-05-26,216.7,216.7,216.7,216.7,0,Fidelity
2019-05-27,216.7,216.7,216.7,216.7,0,Fidelity
2019-05-28,216.8,216.8,216.8,216.8,0,Fidelity
2019-05-29,215.2,215.2,215.2,215.2,0,Fidelity
2019-05-30,214.8,214.8,214.8,214.8,0,Fidelity
2019-05-31,213.7,213.7,213.7,213.7,0,Fidelity
2019-06-01,213.7,213.7,213.7,213.7,0,Fidelity
2019-06-02,213.7,213.7,213.7,213.7,0,Fidelity
2019-06-03,213.1,213.1,213.1,213.1,0,Fidelity
2019-06-04,213.4,213.4,213.4,213.4,0,Fidelity
2019-06-05,216.5,216.5,216.5,216.5,0,Fidelity
2019-06-06,216.7,216.7,216.7,216.7,0,Fidelity
2019-06-07,217.7,217.7,217.7,217.7,0,Fidelity
2019-06-08,217.7,217.7,217.7,217.7,0,Fidelity
2019-06-09,217.7,217.7,217.7,217.7,0,Fidelity
2019-06-10,220.1,220.1,220.1,220.1,0,Fidelity
2019-06-11,222.1,222.1,222.1,222.1,0,Fidelity
2019-06-12,220.2,220.2,220.2,220.2,0,Fidelity
2019-06-13,220.8,220.8,220.8,220.8,0,Fidelity
2019-06-14,221.3,221.3,221.3,221.3,0,Fidelity
2019-06-15,221.3,221.3,221.3,221.3,0,Fidelity
2019-06-16,221.3,221.3,221.3,221.3,0,Fidelity
2019-06-17,221.7,221.7,221.7,221.7,0,Fidelity
2019-06-18,224,224,224,224,0,Fidelity
2019-06-19,224.6,224.6,224.6,224.6,0,Fidelity
2019-06-20,225.7,225.7,225.7,225.7,0,Fidelity
2019-06-21,226.3,226.3,226.3,226.3,0,Fidelity
2019-06-22,226.3,226.3,226.3,226.3,0,Fidelity
2019-06-23,226.3,226.3,226.3,226.3,0,Fidelity
2019-06-24,224.8,224.8,224.8,224.8,0,Fidelity
2019-06-25,224.4,224.4,224.4,224.4,0,Fidelity
2019-06-26,223.9,223.9,223.9,223.9,0,Fidelity
2019-06-27,223.7,223.7,223.7,223.7,0,Fidelity
2019-06-28,224.8,224.8,224.8,224.8,0,Fidelity
2019-06-29,224.8,224.8,224.8,224.8,0,Fidelity
2019-06-30,224.8,224.8,224.8,224.8,0,Fidelity
2019-07-01,228.4,228.4,228.4,228.4,0,Fidelity
2019-07-02,228.1,228.1,228.1,228.1,0,Fidelity
2019-07-03,230.5,230.5,230.5,230.5,0,Fidelity
2019-07-04,231.3,231.3,231.3,231.3,0,Fidelity
2019-07-05,231.3,231.3,231.3,231.3,0,Fidelity
2019-07-06,231.3,231.3,231.3,231.3,0,Fidelity
2019-07-07,231.3,231.3,231.3,231.3,0,Fidelity
2019-07-08,230.4,230.4,230.4,230.4,0,Fidelity
2019-07-09,230.7,230.7,230.7,230.7,0,Fidelity
2019-07-10,230.6,230.6,230.6,230.6,0,Fidelity
2019-07-11,230.4,230.4,230.4,230.4,0,Fidelity
2019-07-12,230.8,230.8,230.8,230.8,0,Fidelity
2019-07-13,230.8,230.8,230.8,230.8,0,Fidelity
2019-07-14,230.8,230.8,230.8,230.8,0,Fidelity
2019-07-15,231.7,231.7,231.7,231.7,0,Fidelity
2019-07-16,233.7,233.7,233.7,233.7,0,Fidelity
2019-07-17,233.4,233.4,233.4,233.4,0,Fidelity
2019-07-18,230.6,230.6,230.6,230.6,0,Fidelity
2019-07-19,230.4,230.4,230.4,230.4,0,Fidelity
2019-07-20,230.4,230.4,230.4,230.4,0,Fidelity
2019-07-21,230.4,230.4,230.4,230.4,0,Fidelity
2019-07-22,231.1,231.1,231.1,231.1,0,Fidelity
2019-07-23,231.9,231.9,231.9,231.9,0,Fidelity
2019-07-24,231.4,231.4,231.4,231.4,0,Fidelity
2019-07-25,232.9,232.9,232.9,232.9,0,Fidelity
2019-07-26,232.7,232.7,232.7,232.7,0,Fidelity
2019-07-27,232.7,232.7,232.7,232.7,0,Fidelity
2019-07-28,232.7,232.7,232.7,232.7,0,Fidelity
2019-07-29,235.7,235.7,235.7,235.7,0,Fidelity
2019-07-30,237.7,237.7,237.7,237.7,0,Fidelity
2019-07-31,237.1,237.1,237.1,237.1,0,Fidelity
2019-08-01,235.9,235.9,235.9,235.9,0,Fidelity
2019-08-02,233.6,233.6,233.6,233.6,0,Fidelity
2019-08-03,233.6,233.6,233.6,233.6,0,Fidelity
2019-08-04,233.6,233.6,233.6,233.6,0,Fidelity
2019-08-05,227.6,227.6,227.6,227.6,0,Fidelity
2019-08-06,225.2,225.2,225.2,225.2,0,Fidelity
2019-08-07,227.7,227.7,227.7,227.7,0,Fidelity
2019-08-08,228.1,228.1,228.1,228.1,0,Fidelity
2019-08-09,231.3,231.3,231.3,231.3,0,Fidelity
2019-08-10,231.3,231.3,231.3,231.3,0,Fidelity
2019-08-11,231.3,231.3,231.3,231.3,0,Fidelity
2019-08-12,229.9,229.9,229.9,229.9,0,Fidelity
2019-08-13,228.1,228.1,228.1,228.1,0,Fidelity
2019-08-14,228.8,228.8,228.8,228.8,0,Fidelity
2019-08-15,224.4,224.4,224.4,224.4,0,Fidelity
2019-08-16,226,226,226,226,0,Fidelity
2019-08-17,226,226,226,226,0,Fidelity
2019-08-18,226,226,226,226,0,Fidelity
2019-08-19,229.6,229.6,229.6,229.6,0,Fidelity
2019-08-20,230.9,230.9,230.9,230.9,0,Fidelity
2019-08-21,230.1,230.1,230.1,230.1,0,Fidelity
2019-08-22,229.4,229.4,229.4,229.4,0,Fidelity
2019-08-23,228.6,228.6,228.6,228.6,0,Fidelity
2019-08-24,228.6,228.6,228.6,228.6,0,Fidelity
2019-08-25,228.6,228.6,228.6,228.6,0,Fidelity
2019-08-26,228.6,228.6,228.6,228.6,0,Fidelity
2019-08-27,225.2,225.2,225.2,225.2,0,Fidelity
2019-08-28,225.5,225.5,225.5,225.5,0,Fidelity
2019-08-29,228.3,228.3,228.3,228.3,0,Fidelity
2019-08-30,230.8,230.8,230.8,230.8,0,Fidelity
2019-08-31,230.8,230.8,230.8,230.8,0,Fidelity
2019-09-01,230.8,230.8,230.8,230.8,0,Fidelity
2019-09-02,231.6,231.6,231.6,231.6,0,Fidelity
2019-09-03,231.4,231.4,231.4,231.4,0,Fidelity
2019-09-04,229.9,229.9,229.9,229.9,0,Fidelity
2019-09-05,230.3,230.3,230.3,230.3,0,Fidelity
2019-09-06,231.9,231.9,231.9,231.9,0,Fidelity
2019-09-07,231.9,231.9,231.9,231.9,0,Fidelity
2019-09-08,231.9,231.9,231.9,231.9,0,Fidelity
2019-09-09,231.2,231.2,231.2,231.2,0,Fidelity
2019-09-10,231.2,231.2,231.2,231.2,0,Fidelity
2019-09-11,231.9,231.9,231.9,231.9,0,Fidelity
2019-09-12,233.8,233.8,233.8,233.8,0,Fidelity
2019-09-13,233.1,233.1,233.1,233.1,0,Fidelity
2019-09-14,233.1,233.1,233.1,233.1,0,Fidelity
2019-09-15,233.1,233.1,233.1,233.1,0,Fidelity
2019-09-16,232.3,232.3,232.3,232.3,0,Fidelity
2019-09-17,232.3,232.3,232.3,232.3,0,Fidelity
2019-09-18,231.8,231.8,231.8,231.8,0,Fidelity
2019-09-19,232.3,232.3,232.3,232.3,0,Fidelity
2019-09-20,231.8,231.8,231.8,231.8,0,Fidelity
2019-09-21,231.8,231.8,231.8,231.8,0,Fidelity
2019-09-22,231.8,231.8,231.8,231.8,0,Fidelity
2019-09-23,231.6,231.6,231.6,231.6,0,Fidelity
2019-09-24,231.6,231.6,231.6,231.6,0,Fidelity
2019-09-25,229.8,229.8,229.8,229.8,0,Fidelity
2019-09-26,232.8,232.8,232.8,232.8,0,Fidelity
2019-09-27,233.2,233.2,233.2,233.2,0,Fidelity
2019-09-28,233.2,233.2,233.2,233.2,0,Fidelity
2019-09-29,233.2,233.2,233.2,233.2,0,Fidelity
2019-09-30,231.8,231.8,231.8,231.8,0,Fidelity
2019-10-01,232.6,232.6,232.6,232.6,0,Fidelity
2019-10-02,229.6,229.6,229.6,229.6,0,Fidelity
2019-10-03,226.6,226.6,226.6,226.6,0,Fidelity
2019-10-04,227.5,227.5,227.5,227.5,0,Fidelity
2019-10-05,227.5,227.5,227.5,227.5,0,Fidelity
2019-10-06,227.5,227.5,227.5,227.5,0,Fidelity
2019-10-07,229.8,229.8,229.8,229.8,0,Fidelity
2019-10-08,230.7,230.7,230.7,230.7,0,Fidelity
2019-10-09,229.8,229.8,229.8,229.8,0,Fidelity
2019-10-10,229.9,229.9,229.9,229.9,0,Fidelity
2019-10-11,228.3,228.3,228.3,228.3,0,Fidelity
2019-10-12,228.3,228.3,228.3,228.3,0,Fidelity
2019-10-13,228.3,228.3,228.3,228.3,0,Fidelity
2019-10-14,228.3,228.3,228.3,228.3,0,Fidelity
2019-10-15,227.1,227.1,227.1,227.1,0,Fidelity
2019-10-16,227.3,227.3,227.3,227.3,0,Fidelity
2019-10-17,225.5,225.5,225.5,225.5,0,Fidelity
2019-10-18,225.4,225.4,225.4,225.4,0,Fidelity
2019-10-19,225.4,225.4,225.4,225.4,0,Fidelity
2019-10-20,225.4,225.4,225.4,225.4,0,Fidelity
2019-10-21,223.8,223.8,223.8,223.8,0,Fidelity
2019-10-22,225.2,225.2,225.2,225.2,0,Fidelity
2019-10-23,226.1,226.1,226.1,226.1,0,Fidelity
2019-10-24,226.6,226.6,226.6,226.6,0,Fidelity
2019-10-25,227.8,227.8,227.8,227.8,0,Fidelity
2019-10-26,227.8,227.8,227.8,227.8,0,Fidelity
2019-10-27,227.8,227.8,227.8,227.8,0,Fidelity
2019-10-28,228.6,228.6,228.6,228.6,0,Fidelity
2019-10-29,229,229,229,229,0,Fidelity
2019-10-30,228.2,228.2,228.2,228.2,0,Fidelity
2019-10-31,227.8,227.8,227.8,227.8,0,Fidelity
2019-11-01,227.6,227.6,227.6,227.6,0,Fidelity
2019-11-02,227.6,227.6,227.6,227.6,0,Fidelity
